Date : 2024-09-25 13:34:45
Directory : c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app
Total : 575 files,  67395 codes, 18525 comments, 9686 blanks, all 95606 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\unit_measurement.py                                                                                  | Python           |         35 |          2 |          5 |         42 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\helpers\__init__.py                                                                                        | Python           |          9 |          0 |          3 |         12 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\helpers\helper_app.py                                                                                      | Python           |         25 |          4 |          6 |         35 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\helpers\helper_db_mysql.py                                                                                 | Python           |         30 |          3 |          9 |         42 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\lib\__init__.py                                                                                            | Python           |          9 |          0 |          3 |         12 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\lib\argument_validation.py                                                                                 | Python           |        806 |        467 |         45 |      1,318 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\lib\data_types.py                                                                                          | Python           |         10 |         20 |          7 |         37 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\__init__.py                                                                                         | Python           |          9 |          0 |          3 |         12 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_accessibility_report.py                                                                  | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_accessibility_statement.py                                                               | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_admin.py                                                                                 | Python           |         17 |          2 |          6 |         25 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_admin_home.py                                                                            | Python           |         18 |          2 |          7 |         27 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_base.py                                                                                  | Python           |        295 |         28 |         18 |        341 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_contact.py                                                                               | Python           |         25 |          5 |          8 |         38 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_home.py                                                                                  | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_license.py                                                                               | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_privacy_policy.py                                                                        | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_retention_schedule.py                                                                    | Python           |         16 |          3 |          5 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_services.py                                                                              | Python           |         16 |          5 |          6 |         27 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store.py                                                                                 | Python           |        351 |         68 |         34 |        453 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_basket.py                                                                          | Python           |         60 |         19 |         10 |         89 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_checkout.py                                                                        | Python           |         42 |         14 |         16 |         72 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_checkout_success.py                                                                | Python           |         27 |         13 |          9 |         49 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_home.py                                                                            | Python           |         33 |         17 |         10 |         60 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_product.py                                                                         | Python           |         40 |         15 |         12 |         67 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_product_category.py                                                                | Python           |         37 |          9 |          9 |         55 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_product_permutation.py                                                             | Python           |         81 |          6 |          9 |         96 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_stock_items.py                                                                     | Python           |         66 |          5 |         10 |         81 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_store_supplier.py                                                                        | Python           |         26 |          5 |          8 |         39 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\models\model_view_user.py                                                                                  | Python           |         16 |          5 |          6 |         27 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\package-lock.json                                                                                          | JSON             |      4,383 |          0 |          1 |      4,384 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\package.json                                                                                               | JSON             |         37 |          0 |          1 |         38 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\passenger_wsgi.py                                                                                          | Python           |         10 |          0 |          5 |         15 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\pay_stripe.py                                                                                              | Python           |        110 |         37 |         35 |        182 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\payments\pay_stripe.py                                                                                     | Python           |        106 |         30 |         34 |        170 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\requirements.txt                                                                                           | pip requirements |         12 |          1 |          3 |         16 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\run.py                                                                                                     | Python           |         12 |          1 |          4 |         17 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\0000_combine.sql                                                                              | SQL              |     13,221 |      3,440 |      2,110 |     18,771 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\0001_destroy.sql                                                                              | SQL              |        196 |          2 |         66 |        264 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1000_tbl_Shop_Product_Change_Set.sql                                                          | SQL              |          8 |          0 |          5 |         13 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1001_tbl_Shop_User_Change_Set.sql                                                             | SQL              |          8 |          0 |          5 |         13 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1002_tbl_Shop_Sales_And_Purchasing_Change_Set.sql                                             | SQL              |          8 |          0 |          5 |         13 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1003_tbl_Shop_Access_Level.sql                                                                | SQL              |         16 |          0 |          8 |         24 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1004_tbl_Shop_Access_Level_Audit.sql                                                          | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1005_tbl_Msg_Error_Type.sql                                                                   | SQL              |          8 |          0 |          6 |         14 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1010_tbl_File_Type.sql                                                                        | SQL              |         12 |          0 |          6 |         18 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1011_tbl_File_Type_Audit.sql                                                                  | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1012_tbl_Shop_General.sql                                                                     | SQL              |         12 |          0 |          5 |         17 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1013_tbl_Shop_General_Audit.sql                                                               | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1014_tbl_Shop_Image_Type.sql                                                                  | SQL              |         16 |          6 |          6 |         28 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1015_tbl_Shop_Image_Type_Audit.sql                                                            | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1100_tbl_Shop_Region.sql                                                                      | SQL              |         15 |          0 |          5 |         20 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1101_tbl_Shop_Region_Audit.sql                                                                | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1102_tbl_Shop_Region_Temp.sql                                                                 | SQL              |         15 |          0 |          5 |         20 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1103_tbl_Shop_Region_Branch.sql                                                               | SQL              |         23 |          1 |          5 |         29 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1104_tbl_Shop_Region_Branch_Audit.sql                                                         | SQL              |         17 |          0 |          5 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1105_tbl_Shop_Region_Branch_Temp.sql                                                          | SQL              |          9 |          1 |          5 |         15 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1106_tbl_Shop_Plant.sql                                                                       | SQL              |         16 |          0 |          6 |         22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1107_tbl_Shop_Plant_Audit.sql                                                                 | SQL              |         17 |          0 |          6 |         23 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\static\MySQL\1108_tbl_Shop_Plant_Temp.sql                                                                  | SQL              |         10 |          0 |          6 |         16 |
